file,name,return_type,args
src/client/creature.cpp,Creature::stopWalk,void,
src/client/creature.cpp,terminateWalk,,
src/client/creature.cpp,Creature::jump,void,"int height, int duration"
src/client/creature.cpp,updateJump,,
src/client/creature.cpp,Creature::updateJump,void,
src/client/creature.cpp,Creature::onPositionChange,void,"const Position& newPos, const Position& oldPos"
src/client/creature.cpp,callLuaField,,"""onPositionChange"", newPos, oldPos"
src/client/creature.cpp,Creature::onAppear,void,
src/client/creature.cpp,if,,m_disappearEvent
src/client/creature.cpp,if,,m_removed
src/client/creature.cpp,stopWalk,,
src/client/creature.cpp,callLuaField,,"""onAppear"""
src/client/creature.cpp,walk,,"m_oldPosition, m_position"
src/client/creature.cpp,callLuaField,,"""onWalk"", m_oldPosition, m_position"
src/client/creature.cpp,stopWalk,,
src/client/creature.cpp,callLuaField,,"""onDisappear"""
src/client/creature.cpp,callLuaField,,"""onAppear"""
src/client/creature.cpp,Creature::onDisappear,void,
src/client/creature.cpp,Creature::onDeath,void,
src/client/creature.cpp,callLuaField,,"""onDeath"""
src/client/creature.cpp,Creature::getWalkAnimationPhases,int,
src/client/creature.cpp,getAnimationPhases,return,
src/client/creature.cpp,Creature::updateWalkAnimation,void,uint8 totalPixelsWalked
src/client/creature.cpp,if,,footAnimPhases > 0
src/client/creature.cpp,if,,footAnimPhases == 0
src/client/creature.cpp,Creature::updateWalkOffset,void,"uint8 totalPixelsWalked, bool inNextFrame"
src/client/creature.cpp,Creature::updateWalkingTile,void,
src/client/creature.cpp,for,,int xi = -1; xi <= 1 && !newWalkingTile; ++xi
src/client/creature.cpp,for,,int yi = -1; yi <= 1 && !newWalkingTile; ++yi
src/client/creature.cpp,if,,newWalkingTile != m_walkingTile
src/client/creature.cpp,if,,newWalkingTile
src/client/creature.cpp,Creature::nextWalkUpdate,void,
src/client/creature.cpp,updateWalk,,
src/client/creature.cpp,if,,!m_walking
src/client/creature.cpp,Creature::updateWalk,void,
src/client/creature.cpp,updateWalkAnimation,,totalPixelsWalked
src/client/creature.cpp,updateWalkOffset,,m_walkedPixels
src/client/creature.cpp,updateWalkOffset,,"walkedPixelsInNextFrame, true"
src/client/creature.cpp,updateWalkingTile,,
src/client/creature.cpp,terminateWalk,,
src/client/creature.cpp,Creature::terminateWalk,void,
src/client/creature.cpp,if,,m_walkUpdateEvent
src/client/creature.cpp,if,,m_walkingTile
src/client/creature.cpp,if,,!m_walkFinishAnimEvent
src/client/creature.cpp,Creature::setName,void,const std::string& name
src/client/creature.cpp,Creature::setHealthPercent,void,uint8 healthPercent
src/client/creature.cpp,if,,!m_useCustomInformationColor
src/client/creature.cpp,if,,changed
src/client/creature.cpp,callLuaField,,"""onHealthPercentChange"", healthPercent"
src/client/creature.cpp,onDeath,,
src/client/creature.cpp,Creature::setDirection,void,Otc::Direction direction
src/client/creature.cpp,VALIDATE,,direction != Otc::InvalidDirection
src/client/creature.cpp,Creature::setOutfit,void,const Outfit& outfit
src/client/creature.cpp,callLuaField,,"""onOutfitChange"", m_outfit, oldOutfit"
src/client/creature.cpp,Creature::setOutfitColor,void,"const Color& color, int duration"
src/client/creature.cpp,if,,m_outfitColorUpdateEvent
src/client/creature.cpp,if,,duration > 0
src/client/creature.cpp,updateOutfitColor,,"m_outfitColor, color, delta, duration"
src/client/creature.cpp,Creature::updateOutfitColor,void,"Color color, Color finalColor, Color delta, int duration"
src/client/creature.cpp,Creature::setSpeed,void,uint16 speed
