cpp_symbol,lua_name,file,note
Game::removeVip,g_game.removeVip,src/client/game.h,singleton
Game::reportBug,g_game.reportBug,src/client/game.h,singleton
Game::reportRuleViolation,g_game.reportRuleViolation,src/client/game.h,singleton
Game::requestChannels,g_game.requestChannels,src/client/game.h,singleton
Game::requestItemInfo,g_game.requestItemInfo,src/client/game.h,singleton
Game::requestOutfit,g_game.requestOutfit,src/client/game.h,singleton
Game::requestQuestLine,g_game.requestQuestLine,src/client/game.h,singleton
Game::requestQuestLog,g_game.requestQuestLog,src/client/game.h,singleton
Game::requestStoreOffers,g_game.requestStoreOffers,src/client/game.h,singleton
Game::requestTrade,g_game.requestTrade,src/client/game.h,singleton
Game::requestTransactionHistory,g_game.requestTransactionHistory,src/client/game.h,singleton
Game::resetFeatures,g_game.resetFeatures,src/client/game.h,singleton
Game::resetGameStates,g_game.resetGameStates,src/client/game.h,singleton
Game::rotate,g_game.rotate,src/client/game.h,singleton
Game::safeLogout,g_game.safeLogout,src/client/game.h,singleton
Game::seekInContainer,g_game.seekInContainer,src/client/game.h,singleton
Game::sellItem,g_game.sellItem,src/client/game.h,singleton
Game::setAttackingCreature,g_game.setAttackingCreature,src/client/game.h,singleton
Game::setCanReportBugs,g_game.setCanReportBugs,src/client/game.h,singleton
Game::setChaseMode,g_game.setChaseMode,src/client/game.h,singleton
Game::setClientVersion,g_game.setClientVersion,src/client/game.h,singleton
Game::setCustomOs,g_game.setCustomOs,src/client/game.h,singleton
Game::setCustomProtocolVersion,g_game.setCustomProtocolVersion,src/client/game.h,singleton
Game::setExpertPvpMode,g_game.setExpertPvpMode,src/client/game.h,singleton
Game::setFeature,g_game.setFeature,src/client/game.h,singleton
Game::setFightMode,g_game.setFightMode,src/client/game.h,singleton
Game::setFollowingCreature,g_game.setFollowingCreature,src/client/game.h,singleton
Game::setMaxPreWalkingSteps,g_game.setMaxPreWalkingSteps,src/client/game.h,singleton
Game::setOpenPvpSituations,g_game.setOpenPvpSituations,src/client/game.h,singleton
Game::setOutfitExtensions,g_game.setOutfitExtensions,src/client/game.h,singleton
Game::setPVPMode,g_game.setPVPMode,src/client/game.h,singleton
Game::setPingDelay,g_game.setPingDelay,src/client/game.h,singleton
Game::setProtocolVersion,g_game.setProtocolVersion,src/client/game.h,singleton
Game::setSafeFight,g_game.setSafeFight,src/client/game.h,singleton
Game::setServerBeat,g_game.setServerBeat,src/client/game.h,singleton
Game::setUnjustifiedPoints,g_game.setUnjustifiedPoints,src/client/game.h,singleton
Game::shouldShowingRealDirection,g_game.shouldShowingRealDirection,src/client/game.h,singleton
Game::showRealDirection,g_game.showRealDirection,src/client/game.h,singleton
Game::stop,g_game.stop,src/client/game.h,singleton
Game::talk,g_game.talk,src/client/game.h,singleton
Game::talkChannel,g_game.talkChannel,src/client/game.h,singleton
Game::talkPrivate,g_game.talkPrivate,src/client/game.h,singleton
Game::terminate,g_game.terminate,src/client/game.h,singleton
Game::transferCoins,g_game.transferCoins,src/client/game.h,singleton
Game::turn,g_game.turn,src/client/game.h,singleton
Game::use,g_game.use,src/client/game.h,singleton
Game::useInventoryItem,g_game.useInventoryItem,src/client/game.h,singleton
Game::useInventoryItemWith,g_game.useInventoryItemWith,src/client/game.h,singleton
Game::useWith,g_game.useWith,src/client/game.h,singleton
Game::walk,g_game.walk,src/client/game.h,singleton
Game::wrap,g_game.wrap,src/client/game.h,singleton
Graphics::checkDepthSupport,g_graphics.checkDepthSupport,src/framework/graphics/graphics.h,singleton
Graphics::checkDepthSupport,g_graphics.checkDepthSupport,src/framework/graphics/graphics.h,singleton
Graphics::checkForError,g_graphics.checkForError,src/framework/graphics/graphics.h,singleton
Graphics::getExtensions,g_graphics.getExtensions,src/framework/graphics/graphics.h,singleton
Graphics::getMaxTextureSize,g_graphics.getMaxTextureSize,src/framework/graphics/graphics.h,singleton
Graphics::getRenderer,g_graphics.getRenderer,src/framework/graphics/graphics.h,singleton
Graphics::getVendor,g_graphics.getVendor,src/framework/graphics/graphics.h,singleton
Graphics::getVersion,g_graphics.getVersion,src/framework/graphics/graphics.h,singleton
Graphics::getViewportSize,g_graphics.getViewportSize,src/framework/graphics/graphics.h,singleton
Graphics::ok,g_graphics.ok,src/framework/graphics/graphics.h,singleton
Graphics::resize,g_graphics.resize,src/framework/graphics/graphics.h,singleton
HealthBars::addHealthBackground,g_healthBars.addHealthBackground,src/client/healthbars.h,singleton
HealthBars::addManaBackground,g_healthBars.addManaBackground,src/client/healthbars.h,singleton
HealthBars::getHealthBar,g_healthBars.getHealthBar,src/client/healthbars.h,singleton
HealthBars::getHealthBarHeight,g_healthBars.getHealthBarHeight,src/client/healthbars.h,singleton
HealthBars::getHealthBarOffset,g_healthBars.getHealthBarOffset,src/client/healthbars.h,singleton
HealthBars::getHealthBarOffsetBar,g_healthBars.getHealthBarOffsetBar,src/client/healthbars.h,singleton
HealthBars::getHealthBarPath,g_healthBars.getHealthBarPath,src/client/healthbars.h,singleton
