widget,prop,value,file,line
addItem,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.7/vBot/HealBot.otui,306
MoveUp,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.7/vBot/HealBot.otui,314
MoveDown,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.7/vBot/HealBot.otui,323
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/HealBot.otui,361
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/HealBot.otui,407
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/HealBot.otui,420
title,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/HealBot.otui,449
closeButton,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.7/vBot/HealBot.otui,477
settingsButton,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.7/vBot/HealBot.otui,486
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/new_healer.otui,1
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/new_healer.otui,44
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/new_healer.otui,50
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/new_healer.otui,71
nan,image-source,/images/ui/window,modules/modules/game_bot/default_configs/vBot_4.7/vBot/new_healer.otui,108
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/new_healer.otui,114
title,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/new_healer.otui,183
nan,image-source,/images/ui/window,modules/modules/game_bot/default_configs/vBot_4.7/vBot/new_healer.otui,224
title,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/new_healer.otui,231
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/new_healer.otui,251
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/new_healer.otui,278
name,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/new_healer.otui,285
add,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/new_healer.otui,295
nan,image-source,/images/ui/window,modules/modules/game_bot/default_configs/vBot_4.7/vBot/new_healer.otui,321
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/new_healer.otui,328
