source_path,reason,details
game_bot/default_configs/vBot_4.8/cavebot/imbuing.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/cavebot/stand_lure.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/cavebot/d_withdraw.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/cavebot/doors.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/cavebot/withdraw.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/cavebot/travel.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/cavebot/walking.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/cavebot/pos_check.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/cavebot/sell_all.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/cavebot/bank.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/cavebot/config.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/cavebot/depositor.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/cavebot/minimap.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/cavebot/inbox_withdraw.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/cavebot/buy_supplies.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/cavebot/cavebot.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/cavebot/lure.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/cavebot/tasker.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/cavebot/clear_tile.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/cavebot/recorder.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/cavebot/actions.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/cavebot/extension_template.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/cavebot/editor.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/targetbot/target.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/targetbot/creature.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/targetbot/creature_attack.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/targetbot/creature_priority.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/targetbot/walking.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/targetbot/creature_editor.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/targetbot/looting.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/vBot/AttackBot.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/vBot/eat_food.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/vBot/alarms.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/vBot/spy_level.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/vBot/exeta.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/vBot/Dropper.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/vBot/supplies.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/vBot/npc_talk.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/vBot/tools.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/vBot/Containers.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/vBot/analyzer.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/vBot/xeno_menu.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/vBot/configs.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/vBot/antiRs.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/vBot/new_healer.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/vBot/Equipper.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/vBot/items.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/vBot/cast_food.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/vBot/HealBot.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/vBot/vlib.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/vBot/ingame_editor.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/vBot/equip.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/vBot/depositer_config.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/vBot/playerlist.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/vBot/Sio.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/vBot/cavebot.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/vBot/quiver_manager.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/vBot/Conditions.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/vBot/main.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/vBot/extras.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/vBot/hold_target.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/vBot/new_cavebot_lib.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/vBot/pushmax.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/vBot/BotServer.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/vBot/combo.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/vBot/quiver_label.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/vBot/cavebot_control_panel.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/vBot/depot_withdraw.lua,no_links,No internal links found
game_buttons/buttons.otui,no_links,No internal links found
client_entergame/entergame.otui,no_links,No internal links found
client_entergame/waitinglist.otui,no_links,No internal links found
client_options/game.otui,no_links,No internal links found
client_options/graphics.otui,no_links,No internal links found
client_options/audio.otui,no_links,No internal links found
client_options/custom.otui,no_links,No internal links found
client_options/console.otui,no_links,No internal links found
client_options/interface.otui,no_links,No internal links found
client_feedback/feedback.otui,no_links,No internal links found
game_console/console.otui,no_links,No internal links found
game_console/violationwindow.otui,no_links,No internal links found
game_viplist/addvip.otui,no_links,No internal links found
client_mobile/mobile.otui,no_links,No internal links found
game_actionbar/hotkey.otui,no_links,No internal links found
game_actionbar/text.otui,no_links,No internal links found
game_stats/stats.otui,no_links,No internal links found
game_healthinfo/healthinfo.otui,no_links,No internal links found
game_inventory/inventory.otui,no_links,No internal links found
client_background/background.otui,no_links,No internal links found
updater/updater.otui,no_links,No internal links found
game_shop/transfer.otui,no_links,No internal links found
game_minimap/minimap.otui,no_links,No internal links found
game_bot/edit.otui,no_links,No internal links found
game_market/ui/myoffers.otui,no_links,No internal links found
game_market/ui/marketoffers.otui,no_links,No internal links found
game_market/ui/myoffers/offerhistory.otui,no_links,No internal links found
game_market/ui/myoffers/itemoffers.otui,no_links,No internal links found
game_market/ui/marketoffers/overview.otui,no_links,No internal links found
